Club No,Club Name,Division,Area,Program Year,Month,Month End,As Of,DCP Status,Club Success Plan,Membership Base,Membership To Date,Net Growth,DCP Goals Met,Level 1 awards,Level 2 awards,More Level 2 awards,Level 3 awards,"Level 4, Path Completion, or DTM award","One more Level 4, Path Completion, or DTM award",New members,More new members,Club officer roles trained June-August,Club officer roles trained November-February,Membership-renewal dues on time,Club officer list on time
00005750,Arbutus Toastmasters Club,C,21,2024-2025,Jun 2025,2025-06-30,21-Jul-2025,President's Distinguished,,22,30,8,10,5,2,5,4,1,3,4,12,7,7,2,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Jul 2025,2025-07-31,6-Aug-2025,,Requirement Not Met,30,32,2,2,2,0,0,1,1,0,2,0,4,0,1,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Aug 2025,2025-08-31,8-Sep-2025,,Requirement Not Met,30,32,2,3,2,0,0,2,1,0,2,0,5,0,1,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Sep 2025,2025-09-30,10-Oct-2025,,Requirement Met,30,33,3,4,3,0,0,2,1,1,3,0,5,0,1,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Oct 2025,2025-10-31,11-Nov-2025,,Requirement Met,30,21,-9,4,3,1,0,2,1,1,3,0,5,0,1,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Nov 2025,2025-11-30,8-Dec-2025,,Requirement Met,30,22,-8,5,3,1,0,2,1,1,4,0,5,2,1,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Dec 2025,2025-12-31,8-Jan-2026,,Requirement Met,30,22,-8,6,3,1,0,2,1,1,4,0,5,4,1,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Jan 2026,2026-01-31,5-Feb-2026,,Requirement Met,30,24,-6,7,3,2,0,2,1,1,4,1,5,5,2,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Feb 2026,2026-02-28,5-Mar-2026,,Requirement Met,30,26,-4,7,3,2,0,2,1,1,4,3,5,5,2,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Mar 2026,2026-03-31,7-Apr-2026,,Requirement Met,30,26,-4,8,4,2,0,2,1,1,4,3,5,5,2,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Apr 2026,2026-04-30,7-May-2026,President's Distinguished,Requirement Met,30,27,-3,9,4,2,0,2,1,1,4,4,5,5,2,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,May 2026,2026-05-31,5-Jun-2026,President's Distinguished,Requirement Met,30,27,-3,9,4,2,1,2,1,1,4,4,5,5,2,1
00005750,Arbutus Toastmasters Club,B,14,2025-2026,Jun 2026,2026-06-30,16-Jul-2026,Smedley Distinguished,Requirement Met,30,28,-2,10,4,2,2,3,1,1,4,5,5,5,2,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Jul 2024,2024-07-31,8-Aug-2024,,,23,27,4,1,0,0,0,0,0,0,4,0,0,0,0,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Aug 2024,2024-08-31,11-Sep-2024,,,23,27,4,1,0,0,0,0,0,0,4,0,4,0,0,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Sep 2024,2024-09-30,11-Oct-2024,,,23,27,4,2,0,0,0,0,0,0,4,0,4,0,1,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Oct 2024,2024-10-31,13-Nov-2024,,,23,27,4,2,0,0,0,0,0,0,4,0,4,0,1,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Nov 2024,2024-11-30,11-Dec-2024,,,23,27,4,2,0,0,0,0,0,0,4,0,4,0,1,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Dec 2024,2024-12-31,8-Jan-2025,,,23,26,3,2,1,0,0,0,0,0,4,0,4,0,1,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Jan 2025,2025-01-31,10-Feb-2025,,,23,26,3,2,1,1,0,0,0,0,4,0,4,0,1,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Feb 2025,2025-02-28,7-Mar-2025,,,23,26,3,2,1,1,0,0,0,0,4,0,4,0,1,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Mar 2025,2025-03-31,11-Apr-2025,,,23,26,3,2,1,1,0,0,0,0,4,0,4,1,2,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Apr 2025,2025-04-30,8-May-2025,,,23,46,23,3,1,1,0,0,0,0,4,28,4,1,2,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,May 2025,2025-05-31,6-Jun-2025,,,23,48,25,3,1,1,0,0,0,0,4,30,4,1,2,1
28677705,Arc'teryx Toastmasters,E,51,2024-2025,Jun 2025,2025-06-30,21-Jul-2025,,,23,48,25,3,1,1,0,0,0,0,4,30,4,1,2,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Jul 2025,2025-07-31,6-Aug-2025,,Requirement Not Met,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Aug 2025,2025-08-31,8-Sep-2025,,Requirement Not Met,48,48,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Sep 2025,2025-09-30,10-Oct-2025,,Requirement Met,48,48,0,0,1,0,0,0,0,0,0,0,1,0,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Oct 2025,2025-10-31,11-Nov-2025,,Requirement Met,48,16,-32,1,1,0,0,0,0,0,4,3,1,0,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Nov 2025,2025-11-30,8-Dec-2025,,Requirement Met,48,17,-31,2,1,0,0,0,0,0,4,4,1,0,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Dec 2025,2025-12-31,8-Jan-2026,,Requirement Met,48,18,-30,2,1,0,0,0,0,0,4,5,1,1,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Jan 2026,2026-01-31,5-Feb-2026,,Requirement Met,48,18,-30,2,1,0,0,0,0,0,4,5,1,1,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Feb 2026,2026-02-28,5-Mar-2026,,Requirement Met,48,18,-30,2,1,0,0,0,0,0,4,5,1,1,0,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Mar 2026,2026-03-31,7-Apr-2026,,Requirement Met,48,19,-29,3,1,0,0,0,0,0,4,6,1,1,1,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Apr 2026,2026-04-30,7-May-2026,,Requirement Met,48,20,-28,3,1,0,0,0,0,0,4,14,1,1,1,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,May 2026,2026-05-31,5-Jun-2026,,Requirement Met,48,20,-28,3,1,0,0,0,0,0,4,14,1,1,1,1
28677705,Arc'teryx Toastmasters,C,22,2025-2026,Jun 2026,2026-06-30,16-Jul-2026,,Requirement Met,48,20,-28,3,1,0,0,0,0,0,4,14,1,1,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Jul 2021,2021-07-31,10-Aug-2021,,,13,14,1,0,0,0,0,0,0,0,1,0,0,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Aug 2021,2021-08-31,9-Sep-2021,,,13,14,1,0,0,0,0,0,0,0,1,0,4,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Sep 2021,2021-09-30,12-Oct-2021,,,13,14,1,1,0,0,0,0,0,0,1,0,4,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Oct 2021,2021-10-31,10-Nov-2021,,,13,9,-4,1,2,0,0,0,0,0,1,0,4,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Nov 2021,2021-11-30,9-Dec-2021,,,13,10,-3,1,3,0,0,0,0,0,2,0,4,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Dec 2021,2021-12-31,6-Jan-2022,,,13,10,-3,1,3,0,0,0,0,0,2,0,4,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Jan 2022,2022-01-31,9-Feb-2022,,,13,10,-3,3,4,2,0,0,0,0,2,0,4,2,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Feb 2022,2022-02-28,8-Mar-2022,,,13,10,-3,3,4,2,0,0,0,0,2,0,4,2,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Mar 2022,2022-03-31,10-Apr-2022,,,13,11,-2,3,5,2,0,0,0,0,3,0,4,2,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Apr 2022,2022-04-30,30-Apr-2022,,,13,9,-4,3,5,2,0,0,0,0,3,0,4,2,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,May 2022,2022-05-31,17-Jun-2022,,,13,9,-4,3,5,2,0,0,0,0,3,0,4,2,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2021-2022,Jun 2022,2022-06-30,29-Jul-2022,,,13,9,-4,3,5,2,0,0,0,0,3,0,4,2,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Jul 2022,2022-07-31,9-Aug-2022,,,9,9,0,0,0,0,0,0,0,0,0,0,3,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Aug 2022,2022-08-31,8-Sep-2022,,,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Sep 2022,2022-09-30,17-Oct-2022,,,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Oct 2022,2022-10-31,15-Nov-2022,,,9,6,-3,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Nov 2022,2022-11-30,9-Dec-2022,,,9,6,-3,0,0,0,0,0,0,0,0,0,5,3,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Dec 2022,2022-12-31,10-Jan-2023,,,9,6,-3,0,0,0,0,0,0,0,0,0,5,3,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Jan 2023,2023-01-31,8-Feb-2023,,,9,6,-3,1,0,0,0,0,0,0,0,0,5,6,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Feb 2023,2023-02-28,9-Mar-2023,,,9,6,-3,1,0,0,0,0,0,0,0,0,5,6,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Mar 2023,2023-03-31,14-Apr-2023,,,9,8,-1,1,0,0,0,0,0,0,2,0,5,6,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Apr 2023,2023-04-30,12-May-2023,,,9,7,-2,1,0,0,0,0,0,0,2,0,5,6,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,May 2023,2023-05-31,7-Jun-2023,,,9,7,-2,1,0,0,0,0,0,0,2,0,5,6,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,Jun 2023,2023-06-30,20-Jul-2023,,,9,7,-2,1,0,0,0,0,0,0,2,0,5,6,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Jul 2023,2023-07-31,11-Aug-2023,,,7,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Aug 2023,2023-08-31,6-Sep-2023,,,7,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Sep 2023,2023-09-30,12-Oct-2023,,,7,9,2,3,1,0,0,1,1,1,2,0,2,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Oct 2023,2023-10-31,8-Nov-2023,,,7,8,1,3,1,0,0,1,1,1,2,0,2,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Nov 2023,2023-11-30,6-Dec-2023,,,7,8,1,3,1,0,0,1,1,1,2,0,2,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Dec 2023,2023-12-31,9-Jan-2024,,,7,8,1,3,1,0,0,1,1,1,2,0,2,1,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Jan 2024,2024-01-31,7-Feb-2024,,,7,9,2,3,1,0,0,1,1,1,3,0,2,3,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Feb 2024,2024-02-29,8-Mar-2024,,,7,10,3,4,1,0,0,1,1,1,4,0,2,5,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Mar 2024,2024-03-31,10-Apr-2024,,,7,10,3,4,1,0,0,1,1,1,4,0,2,5,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Apr 2024,2024-04-30,8-May-2024,,,7,8,1,4,1,0,0,1,1,1,4,0,2,5,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,May 2024,2024-05-31,11-Jun-2024,,,7,8,1,4,1,0,0,1,1,1,4,0,2,5,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2023-2024,Jun 2024,2024-06-30,20-Jul-2024,,,7,8,1,4,1,0,0,1,1,1,4,0,2,5,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Jul 2024,2024-07-31,8-Aug-2024,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Aug 2024,2024-08-31,11-Sep-2024,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Sep 2024,2024-09-30,11-Oct-2024,,,8,9,1,1,1,0,0,0,0,0,1,0,3,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Oct 2024,2024-10-31,13-Nov-2024,,,8,8,0,1,1,0,0,0,0,0,1,0,3,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Nov 2024,2024-11-30,11-Dec-2024,,,8,8,0,1,1,1,0,0,0,0,1,0,3,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Dec 2024,2024-12-31,8-Jan-2025,,,8,8,0,1,1,1,0,0,0,0,1,0,3,0,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Jan 2025,2025-01-31,10-Feb-2025,,,8,8,0,1,2,1,0,0,0,0,1,0,3,1,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Feb 2025,2025-02-28,7-Mar-2025,,,8,8,0,2,2,2,1,1,0,0,1,0,3,2,1,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Mar 2025,2025-03-31,11-Apr-2025,,,8,8,0,2,2,2,1,1,0,0,1,0,3,4,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Apr 2025,2025-04-30,8-May-2025,,,8,9,1,2,2,2,1,1,0,0,2,0,3,4,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,May 2025,2025-05-31,6-Jun-2025,,,8,10,2,2,2,2,1,1,0,0,3,0,3,4,2,1
00002645,Armstrong Toastmasters Club 2645,J,72,2024-2025,Jun 2025,2025-06-30,21-Jul-2025,,,8,10,2,2,2,2,1,1,0,0,3,0,3,4,2,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Jul 2025,2025-07-31,6-Aug-2025,,Requirement Not Met,10,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Aug 2025,2025-08-31,8-Sep-2025,,Requirement Not Met,10,10,0,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Sep 2025,2025-09-30,10-Oct-2025,,Requirement Met,10,10,0,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Oct 2025,2025-10-31,11-Nov-2025,,Requirement Met,10,4,-6,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Nov 2025,2025-11-30,8-Dec-2025,,Requirement Met,10,4,-6,0,0,0,0,0,0,0,0,0,5,0,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Dec 2025,2025-12-31,8-Jan-2026,,Requirement Met,10,4,-6,0,0,0,0,0,0,0,0,0,5,1,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Jan 2026,2026-01-31,5-Feb-2026,,Requirement Met,10,4,-6,0,0,0,0,0,0,0,0,0,5,1,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Feb 2026,2026-02-28,5-Mar-2026,,Requirement Met,10,4,-6,0,0,0,0,0,0,0,0,0,5,1,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Mar 2026,2026-03-31,7-Apr-2026,,Requirement Met,10,8,-2,1,0,0,0,0,0,0,4,0,5,1,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Apr 2026,2026-04-30,7-May-2026,,Requirement Met,10,8,-2,1,0,0,0,0,0,0,4,3,5,1,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,May 2026,2026-05-31,5-Jun-2026,,Requirement Met,10,8,-2,1,0,0,0,0,0,0,4,3,5,1,0,1
00002645,Armstrong Toastmasters Club 2645,J,82,2025-2026,Jun 2026,2026-06-30,16-Jul-2026,,Requirement Met,10,9,-1,2,0,0,0,0,0,0,4,4,5,1,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Jul 2021,2021-07-31,10-Aug-2021,,,15,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Aug 2021,2021-08-31,9-Sep-2021,,,15,15,0,0,0,0,0,0,0,0,0,0,6,0,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Sep 2021,2021-09-30,12-Oct-2021,,,15,15,0,1,0,0,0,0,0,0,0,0,6,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Oct 2021,2021-10-31,10-Nov-2021,,,15,11,-4,1,0,0,0,0,0,0,1,0,6,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Nov 2021,2021-11-30,9-Dec-2021,,,15,12,-3,1,0,0,0,0,0,0,2,0,6,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Dec 2021,2021-12-31,6-Jan-2022,,,15,12,-3,2,0,0,0,0,0,0,2,0,6,5,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Jan 2022,2022-01-31,9-Feb-2022,,,15,12,-3,2,1,0,0,0,0,0,2,0,6,5,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Feb 2022,2022-02-28,8-Mar-2022,,,15,14,-1,3,2,0,0,0,0,0,4,0,6,5,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Mar 2022,2022-03-31,10-Apr-2022,,,15,15,0,3,2,0,0,0,0,0,4,1,6,5,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Apr 2022,2022-04-30,30-Apr-2022,,,15,8,-7,3,2,0,0,0,0,0,4,1,6,5,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,May 2022,2022-05-31,17-Jun-2022,,,15,8,-7,3,2,1,0,0,0,0,4,1,6,5,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2021-2022,Jun 2022,2022-06-30,29-Jul-2022,,,15,8,-7,3,2,1,0,0,0,0,4,1,6,5,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Jul 2022,2022-07-31,9-Aug-2022,,,8,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Aug 2022,2022-08-31,8-Sep-2022,,,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Sep 2022,2022-09-30,17-Oct-2022,,,8,9,1,1,0,0,0,0,0,0,1,0,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Oct 2022,2022-10-31,15-Nov-2022,,,8,8,0,2,0,0,0,0,0,0,4,0,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Nov 2022,2022-11-30,9-Dec-2022,,,8,9,1,2,0,0,0,0,0,0,4,1,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Dec 2022,2022-12-31,10-Jan-2023,,,8,9,1,2,0,0,0,0,0,0,4,1,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Jan 2023,2023-01-31,8-Feb-2023,,,8,9,1,2,0,0,0,0,0,0,4,1,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Feb 2023,2023-02-28,9-Mar-2023,,,8,9,1,2,0,0,0,0,0,0,4,1,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Mar 2023,2023-03-31,14-Apr-2023,,,8,9,1,2,0,0,0,0,0,0,4,1,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Apr 2023,2023-04-30,12-May-2023,,,8,8,0,2,0,0,0,0,0,0,4,2,5,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,May 2023,2023-05-31,7-Jun-2023,,,8,9,1,3,0,0,0,0,0,0,4,3,5,7,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,Jun 2023,2023-06-30,20-Jul-2023,,,8,9,1,3,0,0,0,0,0,0,4,3,5,7,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Jul 2023,2023-07-31,11-Aug-2023,,,9,10,1,1,0,0,0,0,0,0,1,0,0,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Aug 2023,2023-08-31,6-Sep-2023,,,9,10,1,1,0,0,0,0,0,0,1,0,4,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Sep 2023,2023-09-30,12-Oct-2023,,,9,10,1,1,0,0,0,0,0,0,1,0,4,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Oct 2023,2023-10-31,8-Nov-2023,,,9,9,0,1,0,0,0,0,0,0,1,0,4,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Nov 2023,2023-11-30,6-Dec-2023,,,9,11,2,1,0,0,0,0,0,0,3,0,4,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Dec 2023,2023-12-31,9-Jan-2024,,,9,11,2,1,0,0,0,0,0,0,3,0,4,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Jan 2024,2024-01-31,7-Feb-2024,,,9,12,3,2,0,0,0,0,0,0,4,0,4,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Feb 2024,2024-02-29,8-Mar-2024,,,9,12,3,2,0,0,0,0,0,0,4,0,4,3,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Mar 2024,2024-03-31,10-Apr-2024,,,9,13,4,2,0,0,0,0,0,0,4,1,4,3,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Apr 2024,2024-04-30,8-May-2024,,,9,12,3,2,0,0,0,0,0,0,4,1,4,3,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,May 2024,2024-05-31,11-Jun-2024,,,9,12,3,3,0,0,0,0,0,0,4,1,4,5,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2023-2024,Jun 2024,2024-06-30,20-Jul-2024,Distinguished,,9,15,6,5,0,0,0,0,1,0,4,4,4,5,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Jul 2024,2024-07-31,8-Aug-2024,,,15,15,0,0,0,0,0,0,0,0,0,0,2,0,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Aug 2024,2024-08-31,11-Sep-2024,,,15,15,0,0,0,0,0,0,0,0,0,0,7,0,0,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Sep 2024,2024-09-30,11-Oct-2024,,,15,16,1,1,1,0,0,0,0,0,1,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Oct 2024,2024-10-31,13-Nov-2024,,,15,10,-5,1,1,0,0,0,0,0,1,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Nov 2024,2024-11-30,11-Dec-2024,,,15,13,-2,1,1,0,0,0,0,0,2,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Dec 2024,2024-12-31,8-Jan-2025,,,15,13,-2,1,1,0,0,0,0,0,2,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Jan 2025,2025-01-31,10-Feb-2025,,,15,19,4,4,1,0,0,0,0,0,4,4,7,4,1,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Feb 2025,2025-02-28,7-Mar-2025,,,15,22,7,4,1,0,0,0,0,0,4,7,7,4,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Mar 2025,2025-03-31,11-Apr-2025,,,15,22,7,4,1,0,0,0,0,0,4,7,7,6,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Apr 2025,2025-04-30,8-May-2025,,,15,16,1,4,1,0,0,0,0,0,4,8,7,6,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,May 2025,2025-05-31,6-Jun-2025,,,15,16,1,4,1,0,0,0,0,0,4,8,7,7,2,1
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2024-2025,Jun 2025,2025-06-30,21-Jul-2025,Distinguished,,15,21,6,5,4,0,0,0,0,0,4,13,7,7,2,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Jul 2025,2025-07-31,6-Aug-2025,,Requirement Not Met,21,21,0,1,0,0,0,0,0,0,0,0,3,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Aug 2025,2025-08-31,8-Sep-2025,,Requirement Not Met,21,22,1,1,0,1,0,0,0,0,1,0,6,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Sep 2025,2025-09-30,10-Oct-2025,,Requirement Met,21,23,2,1,2,1,0,0,0,0,2,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Oct 2025,2025-10-31,11-Nov-2025,,Requirement Met,21,17,-4,1,2,1,0,0,0,0,3,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Nov 2025,2025-11-30,8-Dec-2025,,Requirement Met,21,17,-4,1,2,1,0,0,0,0,3,0,7,0,1,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Dec 2025,2025-12-31,8-Jan-2026,,Requirement Met,21,17,-4,1,2,1,0,0,0,0,3,0,7,1,1,1
03924503,AtkinsRealis Vancouver Toastmasters,E,40,2025-2026,Jan 2026,2026-01-31,5-Feb-2026,,Requirement Met,21,18,-3,2,2,1,0,0,0,0,4,0,7,2,2,1
